,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0125
29,0.225
30,1.035
31,2.285
32,5.0575
33,9.44
34,14.165
35,18.3775
36,22.7225
37,27.6475
38,32.165
39,33.82
40,41.17
41,49.13
42,35.44
43,33.0625
44,45.725
45,36.575
46,31.9875
47,40.085
48,48.335
49,46.47
50,37.9175
51,63.6375
52,63.59
53,30.5775
54,38.415
55,62.45
56,58.7975
57,57.275
58,65.885
59,72.2875
60,75.585
61,57.66
62,47.2
63,66.04
64,64.1325
65,60.5
66,63.54
67,44.7125
68,22.3925
69,14.06
70,14.6575
71,14.2925
72,12.7175
73,10.7975
74,10.97
75,10.0375
76,8.5925
77,6.17
78,3.79
79,1.83
80,0.6475
81,0.14
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.3375
126,1.325
127,2.8
128,4.3
129,10.3725
130,16.0525
131,17.5925
132,7.685
133,15.4375
134,30.335
135,36.915
136,35.1025
137,39.565
138,54.72
139,55.41
140,56.5625
141,59.1625
142,61.0175
143,60.06
144,74.34
145,68.85
146,75.9375
147,74.8925
148,57.6925
149,46.7325
150,41.27
151,44.1275
152,45.5975
153,44.52
154,38.96
155,31.4075
156,33.4575
157,28.865
158,50.9025
159,56.435
160,46.905
161,48.545
162,60.2875
163,67.89
164,58.62
165,41.5125
166,33.4975
167,24.175
168,16.595
169,11.03
170,8.105
171,5.805
172,3.415
173,2.2025
174,1.04
175,0.4325
176,0.0875
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.05
221,0.93
222,2.7325
223,5.095
224,7.005
225,9.0575
226,19.96
227,19.0975
228,20.03
229,29.1525
230,40.0675
231,62.4475
232,54.3675
233,31.9925
234,29.2875
235,62.66
236,41.4925
237,60.6
238,52.3
239,67.555
240,64.5475
241,93.175
242,101.7
243,60.9575
244,59.3525
245,69.1175
246,68.885
247,106.6625
248,125.6
249,103.3025
250,80.725
251,111.5775
252,91.6075
253,111.855
254,108.67
255,109.515
256,104.31
257,100.955
258,97.5725
259,93.645
260,89.8725
261,83.5975
262,75.1875
263,67.3375
264,58.015
265,49.9875
266,41.6825
267,29.5325
268,12.2025
269,5.9575
270,4.61
271,2.7575
272,1.205
273,0.12
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.025
316,0.56
317,2.4625
318,4.86
319,6.6825
320,12.155
321,21.5275
322,29.3325
323,36.3025
324,43.8525
325,51.6975
326,59.17
327,66.3975
328,72.485
329,78.105
330,84.255
331,91.865
332,98.79
333,103.53
334,106.74
335,108.6775
336,109.8525
337,111.54
338,114.7675
339,115.93
340,116.34
341,117.7925
342,115.34
343,115.3275
344,117.485
345,116.305
346,115.1075
347,113.2575
348,111.3175
349,109.785
350,108.1075
351,105.35
352,102.0325
353,98.205
354,95.5725
355,91.325
356,86.77
357,79.9575
358,71.7725
359,64.1225
360,56.0775
361,48.3025
362,39.435
363,31.2025
364,22.805
365,14.75
366,10.8025
367,5.7825
368,2.5275
369,0.5275
370,0.0125
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.49
413,2.125
414,4.235
415,7.9275
416,14.5025
417,22.215
418,29.6475
419,36.4175
420,43.5275
421,51.0475
422,58.905
423,66.1875
424,72.4075
425,78.235
426,84.62
427,92.0675
428,98.785
429,103.605
430,106.7075
431,109.6025
432,111.8075
433,113.45
434,114.685
435,116.16
436,117.0375
437,117.3525
438,117.445
439,117.52
440,116.615
441,116.525
442,115.4775
443,114.3175
444,112.3825
445,110.61
446,108.105
447,105.26
448,102.6825
449,99.4425
450,96.105
451,92.3075
452,88.025
453,81.7525
454,73.8375
455,66.1525
456,58.1475
457,49.86
458,41.625
459,33.47
460,25.455
461,18.1725
462,11.735
463,5.6975
464,2.4425
465,0.5275
466,0.0125
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0125
508,0.6175
509,2.1175
510,4.025
511,8.2925
512,15.2725
513,23.2025
514,30.8775
515,37.97
516,45.3925
517,53.37
518,60.7325
519,68.7225
520,74.965
521,80.285
522,85.06
523,92.245
524,98.64
525,102.625
526,105.6925
527,107.8025
528,110.0175
529,111.73
530,112.6075
531,113.1575
532,113.485
533,114.3875
534,114.8825
535,116.335
536,90.7325
537,99.8725
538,104.0775
539,101.4425
540,75.4825
541,94.405
542,67.58
543,52.2575
544,57.9025
545,44.555
