YYYYMMDD;    Q
20200101;123
20200102;80
20200103;77
20200104;246
20200105;79
20200106;344
20200107;231
20200108;139
20200109;64
20200110;238
20200111;254
20200112;99
20200113;316
20200114;85
20200115;82
20200116;455
20200117;121
20200118;355
20200119;461
20200120;236
20200121;216
20200122;129
20200123;253
20200124;222
20200125;150
20200126;409
20200127;226
20200128;315
20200129;386
20200130;336
20200131;167
20200201;404
20200202;130
20200203;454
20200204;247
20200205;632
20200206;569
20200207;765
20200208;167
20200209;145
20200210;549
20200211;453
20200212;567
20200213;198
20200214;464
20200215;391
20200216;178
20200217;594
20200218;544
20200219;769
20200220;387
20200221;478
20200222;286
20200223;205
20200224;154
20200225;854
20200226;378
20200227;229
20200228;473
20200229;566
20200301;636
20200302;268
20200303;958
20200304;1203
20200305;198
20200306;581
20200307;1047
20200308;325
20200309;768
20200310;196
20200311;864
20200312;1278
20200313;659
20200314;930
20200315;407
20200316;1192
20200317;1480
20200318;746
20200319;352
20200320;593
20200321;1754
20200322;1819
20200323;1821
20200324;1834
20200325;1885
20200326;1820
20200327;1719
20200328;1780
20200329;1726
20200330;1115
20200331;2023
20200401;1151
20200402;1152
20200403;1417
20200404;2044
20200405;2078
20200406;1722
20200407;2076
20200408;1873
20200409;1853
20200410;2132
20200411;2178
20200412;1736
20200413;1807
20200414;1246
20200415;2110
20200416;2091
20200417;2127
20200418;663
20200419;2396
20200420;2433
20200421;2452
20200422;2476
20200423;2408
20200424;2383
20200425;1711
20200426;2356
20200427;2385
20200428;351
20200429;1094
20200430;1909
20200501;1604
20200502;2081
20200503;1621
20200504;2397
20200505;2653
20200506;2651
20200507;2472
20200508;2250
20200509;2599
20200510;1382
20200511;2426
20200512;1828
20200513;1771
20200514;1959
20200515;2767
20200516;2094
20200517;2555
20200518;2612
20200519;2664
20200520;2146
20200521;2647
20200522;1487
20200523;2499
20200524;641
20200525;2852
20200526;2768
20200527;2875
20200528;2981
20200529;2919
20200530;2900
20200531;2913
20200601;2669
20200602;2682
20200603;2273
20200604;1003
20200605;1132
20200606;1878
20200607;1397
20200608;1715
20200609;1657
20200610;1167
20200611;902
20200612;2024
20200613;2543
20200614;904
20200615;2354
20200616;1306
20200617;2191
20200618;1711
20200619;1998
20200620;2684
20200621;1760
20200622;3050
20200623;2900
20200624;2797
20200625;2848
20200626;2530
20200627;1394
20200628;2470
20200629;1369
20200630;1099
20200701;1769
20200702;2074
20200703;2161
20200704;517
20200705;1369
20200706;1523
20200707;2180
20200708;747
20200709;555
20200710;1579
20200711;2522
20200712;2204
20200713;2783
20200714;658
20200715;2095
20200716;1331
20200717;1438
20200718;2382
20200719;1724
20200720;2469
20200721;2715
20200722;2222
20200723;2199
20200724;1773
20200725;715
20200726;2164
20200727;1153
20200728;2163
20200729;2099
20200730;2530
20200731;2649
20200801;1592
20200802;2291
20200803;888
20200804;2439
20200805;2483
20200806;2424
20200807;2463
20200808;2146
20200809;2306
20200810;1985
20200811;1842
20200812;2122
20200813;1707
20200814;1560
20200815;1481
20200816;1672
20200817;1515
20200818;1802
20200819;1731
20200820;1286
20200821;2097
20200822;1318
20200823;1208
20200824;1721
20200825;737
20200826;544
20200827;956
20200828;1039
20200829;1064
20200830;872
20200831;1544
20200901;784
20200902;1502
20200903;472
20200904;1323
20200905;1464
20200906;1658
20200907;1541
20200908;364
20200909;754
20200910;1115
20200911;1478
20200912;956
20200913;1630
20200914;1650
20200915;1595
20200916;1146
20200917;1642
20200918;1698
20200919;1606
20200920;1649
20200921;1557
20200922;1455
20200923;633
20200924;866
